user_id,first_name,last_name,username,date_of_birth,native_language,learning_language,disability_id,created_at,profile_photo,setting_id,setting_type,font_color,background_color,font_size,font_weight,font_family,letter_spacing,line_spacing,word_spacing,text_alignment,is_auto_play_tts,bionic_reading,lists_with_bullets,wcag_compliant,score,age,passing_score
10000001,Megan,Chang,robert.chang@sheppard-tucker.com,2008-12-22,Spanish,English,90000001,2023-11-12 14:17:19,https://randomuser.me/api/portraits/women/63.jpg,40000001,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,89.1,14,True
10000002,Brandy,Odonnell,william.odonnell@taylor-davis.com,2009-12-05,French,English,90000002,2023-11-12 23:10:01,https://randomuser.me/api/portraits/men/88.jpg,40000002,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,69.3,13,False
10000003,Rachel,Collins,jessica.collins@rivera.com,2011-04-05,German,English,90000003,2023-11-13 00:34:10,https://randomuser.me/api/portraits/women/82.jpg,40000003,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,87.9,12,True
10000004,Robin,Levy,thomas.levy@green.com,2002-06-15,Latin,English,90000001,2023-11-12 15:46:23,https://randomuser.me/api/portraits/women/70.jpg,40000004,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,89.0,21,True
10000005,Jennifer,Glover,colleen.glover@snyder.com,2012-11-02,Japanese,English,90000002,2023-11-12 03:32:44,https://randomuser.me/api/portraits/women/37.jpg,40000005,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,43.3,11,False
10000006,James,Bradley,john.bradley@pratt.com,2002-03-27,Chinese,English,90000003,2023-11-12 12:54:19,https://randomuser.me/api/portraits/men/77.jpg,40000006,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,64.4,21,False
10000007,Nancy,Bolton,tracy.bolton@arnold-mann.net,2006-07-12,Russian,English,90000001,2023-11-12 20:55:25,https://randomuser.me/api/portraits/men/87.jpg,40000007,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,86.1,17,True
10000008,James,Lloyd,amy.lloyd@wallace-carlson.biz,2006-04-06,English,Spanish,90000002,2023-11-12 22:12:40,https://randomuser.me/api/portraits/women/41.jpg,40000008,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,87.0,17,True
10000009,John,White,lori.white@salazar.com,2008-12-22,English,French,90000003,2023-11-12 03:46:04,https://randomuser.me/api/portraits/women/18.jpg,40000009,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,98.2,14,True
10000010,Christopher,Todd,nancy.todd@kirby.net,2012-06-30,English,German,90000001,2023-11-12 15:29:56,https://randomuser.me/api/portraits/men/60.jpg,40000010,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,42.5,11,False
10000011,Mary,Warren,aimee.warren@atkinson.org,2008-01-02,English,Latin,90000002,2023-11-12 22:21:30,https://randomuser.me/api/portraits/women/42.jpg,40000011,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,95.0,15,True
10000012,Joshua,Vasquez,danielle.vasquez@stark.org,2002-10-30,English,Japanese,90000003,2023-11-12 18:57:48,https://randomuser.me/api/portraits/men/27.jpg,40000012,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,86.0,21,True
10000013,Brenda,Rogers,james.rogers@dennis.com,2007-03-13,English,Chinese,90000001,2023-11-12 07:27:34,https://randomuser.me/api/portraits/men/41.jpg,40000013,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,89.6,16,True
10000014,Marvin,Cabrera,craig.cabrera@wyatt.com,2010-08-18,English,Russian,90000002,2023-11-13 00:20:35,https://randomuser.me/api/portraits/men/99.jpg,40000014,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,98.2,13,True
10000015,Renee,Ferguson,erin.ferguson@martinez.org,2010-08-31,Spanish,English,90000003,2023-11-12 05:36:37,https://randomuser.me/api/portraits/men/7.jpg,40000015,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,60.6,13,False
10000016,Peter,Wood,tina.wood@jacobs.com,2002-12-22,French,English,90000001,2023-11-12 18:42:03,https://randomuser.me/api/portraits/women/3.jpg,40000016,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,12.8,20,False
10000017,Jason,Owen,sharon.owen@stephens.com,2005-04-16,German,English,90000002,2023-11-12 03:48:04,https://randomuser.me/api/portraits/men/95.jpg,40000017,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,57.5,18,False
10000018,Jeffrey,Lucas,michael.lucas@brown.com,2011-01-06,Latin,English,90000003,2023-11-12 04:55:36,https://randomuser.me/api/portraits/women/3.jpg,40000018,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,94.7,12,True
